#{"t_start": 1682356442.605035, "env_id": null}
r,l,t,current_date
82.01999,28,276.707024,2018-02-16
120.79334,23,278.289387,2018-02-16
78.40333,33,281.160969,2018-02-16
53.179993,36,282.800654,2018-04-26
86.29667,28,284.701493,2018-02-16
159.38667,35,284.701602,2018-02-16
67.11667,31,284.701631,2018-02-16
152.91335,27,286.57396,2018-02-16
83.77665,27,286.574052,2018-02-16
133.58998,32,288.487098,2018-02-16
55.663334,25,288.487184,2018-02-16
115.693344,29,288.487296,2018-02-16
127.18002,29,290.301128,2018-02-16
170.90663,32,290.301239,2018-02-16
95.35334,32,295.659444,2018-02-16
61.679993,27,298.539758,2018-04-06
47.073334,33,298.539836,2018-02-16
60.85999,25,300.11631,2018-02-16
170.65665,35,302.018415,2018-02-16
70.11001,40,303.631407,2018-02-16
38.926662,27,306.432589,2018-04-06
87.263336,32,308.33358,2018-02-16
142.02666,33,309.951704,2018-02-16
174.78664,31,309.953672,2018-02-16
69.12666,31,311.606261,2018-02-16
119.12,32,311.606368,2018-04-06
107.69332,24,313.380446,2018-04-06
47.80333,28,315.187105,2018-04-06
81.66667,37,320.262603,2018-04-06
155.57,33,320.262702,2018-04-06
148.47333,37,323.14395,2018-02-16
40.30666,31,323.144043,2018-04-06
64.770004,26,326.203557,2018-04-06
209.43999,31,326.203632,2018-04-06
123.67,32,326.203664,2018-04-06
61.11667,25,326.203684,2018-04-06
64.92666,27,327.909494,2018-04-06
158.15,28,327.909584,2018-04-06
171.09003,30,329.427482,2018-02-16
