#{"t_start": 1682366685.5042574, "env_id": null}
r,l,t,current_date,agent_id
148.33333,29,121.893283,2017-06-14,12
134.38667,18,121.893299,2018-06-18,31
154.83,24,122.834127,2018-06-19,25
221.85332,35,123.51526,2017-08-02,5
154.92332,35,124.265854,2017-06-07,9
207.86334,41,127.713147,2017-08-29,18
126.496666,26,127.713243,2017-07-01,29
280.56,32,129.688897,2018-07-08,10
173.00667,28,129.689013,2018-04-14,23
173.23666,24,130.393284,2017-12-13,24
133.75668,41,130.39337,2018-01-17,26
178.19664,34,131.126523,2017-11-27,11
172.79999,26,131.12661,2018-03-25,22
130.43333,32,133.330701,2018-07-01,16
158.74,24,134.034547,2018-06-29,4
209.64,24,134.89428,2017-07-19,1
124.200005,35,134.894376,2017-09-19,15
221.99664,33,134.894392,2018-04-12,30
202.84334,34,135.73293,2017-08-20,27
202.66333,21,136.485898,2018-01-02,12
174.81332,28,136.48599,2018-04-03,28
204.43332,29,137.472677,2018-06-13,2
135.35,30,137.472785,2018-07-28,6
186.21667,26,138.324045,2017-10-01,8
180.85663,30,138.324189,2017-06-20,13
186.07,33,138.324223,2017-12-15,17
177.26004,39,139.416418,2017-11-13,19
130.3167,32,140.059218,2017-09-21,14
151.90999,38,140.797231,2018-03-06,21
177.74332,26,140.797328,2018-05-04,25
143.94666,28,141.562171,2017-08-25,3
157.93333,36,143.152854,2018-06-22,7
119.63,32,143.152943,2018-02-13,20
177.44333,30,144.436403,2017-11-17,5
161.68999,33,147.211978,2018-07-01,9
187.15666,36,147.212102,2018-04-10,31
176.41,23,147.901231,2017-10-19,11
193.46666,28,147.90132,2017-08-02,18
96.25333,49,148.546774,2017-09-05,0
155.44662,29,148.54692,2018-03-14,29
242.45667,27,152.970887,2017-10-15,4
177.16,33,152.97105,2017-11-22,23
192.67331,21,153.977505,2017-06-25,19
138.87999,33,153.977603,2017-08-09,24
185.14668,26,153.977622,2018-08-04,27
224.65999,36,155.531609,2018-07-12,10
193.55667,34,155.531727,2017-08-15,22
208.66,27,155.531748,2017-07-20,28
193.20999,27,156.420588,2017-08-26,2
186.29669,28,156.420685,2018-04-07,12
209.53667,32,156.420701,2018-07-15,16
176.22668,28,157.413945,2018-04-07,6
176.02666,28,158.200024,2018-03-27,17
161.03668,34,159.420413,2017-06-07,1
152.63333,40,159.420539,2017-10-25,26
152.29332,19,160.983399,2017-12-30,9
222.30331,26,161.993993,2018-08-18,7
148.80002,33,161.994082,2018-08-10,13
229.96664,34,162.650273,2017-07-31,8
231.39333,32,163.380119,2017-10-11,14
170.23,39,163.380208,2017-08-28,15
141.73999,31,163.38031,2017-06-08,21
205.40999,40,164.157594,2017-12-15,30
182.35333,33,164.796255,2017-06-26,25
179.91667,24,166.155747,2017-08-01,0
207.32999,32,166.155871,2017-07-19,20
235.73003,36,167.644353,2018-08-10,3
184.49,32,167.644442,2018-04-23,5
252.55667,29,169.202325,2018-04-06,11
184.02335,29,169.821702,2017-06-09,29
290.37997,34,171.733878,2018-04-08,31
134.26668,28,173.814623,2018-02-08,23
226.73666,25,173.814763,2018-06-10,28
