#{"t_start": 1682401244.4086945, "env_id": null}
r,l,t,current_date,agent_id
110.44333,32,69.798541,2018-05-21,54
81.69667,28,70.485456,2017-07-01,4
-19.0,36,70.485551,2017-05-27,15
115.38667,35,70.485568,2017-07-01,36
119.820015,38,70.485581,2017-08-08,60
115.43666,37,71.263102,2017-08-04,37
-28.179998,24,71.263207,2017-10-01,47
27.483334,33,72.022499,2017-12-13,17
111.229996,29,72.022588,2017-07-31,18
-55.573345,28,72.022605,2017-11-30,52
93.15667,31,72.022616,2017-12-25,62
69.51001,31,72.789463,2018-02-21,61
27.100004,30,73.580324,2018-08-22,9
13.610001,37,73.580423,2018-03-13,41
32.51334,37,73.58044,2018-08-12,56
62.54333,32,74.744547,2017-10-12,45
59.339993,34,75.65369,2018-07-29,46
9.153333,35,75.653781,2018-05-19,49
101.44667,35,76.485952,2018-07-16,26
13.200005,37,76.486047,2018-08-22,27
-57.65999,35,76.486062,2017-09-13,28
-35.59665,40,76.486073,2018-05-02,42
-18.613329,38,76.486084,2018-04-10,50
68.62333,27,77.383507,2018-06-12,12
91.380005,35,77.383601,2017-08-04,30
35.66333,38,77.383618,2018-07-26,31
83.21332,39,77.383631,2017-06-10,33
-27.87,37,77.383641,2017-09-04,55
75.023346,32,78.118036,2017-12-09,32
4.640002,37,78.960647,2018-05-05,0
46.946667,38,78.960753,2018-04-14,5
41.693333,33,78.960772,2017-09-18,24
103.41666,35,79.847433,2018-06-10,34
5.803335,29,79.847522,2018-03-30,39
-37.70667,36,79.847538,2018-06-14,51
-39.126675,42,80.647815,2018-02-01,1
51.94333,29,81.208184,2017-11-04,22
36.176666,32,82.033774,2018-03-13,13
-7.6233397,38,82.033869,2018-02-24,63
3.0799968,31,82.796812,2018-08-18,25
-0.12332623,44,83.463731,2018-01-18,2
49.31,22,83.463827,2017-11-20,7
-17.626667,40,84.295099,2017-11-30,14
29.363327,34,85.163649,2018-04-24,59
14.033333,30,85.997663,2017-10-20,10
-44.269997,29,85.997753,2018-05-16,58
-201.86333,43,86.665528,2017-09-08,8
152.41335,26,87.98688,2018-07-17,11
43.42333,31,87.986974,2018-06-19,20
-34.70668,30,89.332236,2018-08-17,6
74.50334,29,89.332354,2017-12-04,43
19.090006,34,89.332372,2017-09-17,53
48.686665,30,90.091473,2017-06-16,16
15.013333,30,90.091561,2018-03-14,23
46.66333,36,90.849323,2017-06-02,29
52.516666,36,90.850241,2018-01-12,35
39.18666,33,91.517382,2018-06-06,3
-38.323334,29,91.51748,2017-12-19,38
-70.816666,29,92.402473,2018-05-29,4
93.84668,30,92.402569,2017-10-28,48
-9.640013,29,92.402584,2018-01-19,60
-11.963335,43,93.072273,2018-07-14,19
64.00001,31,93.971041,2018-07-02,15
63.269993,40,93.971148,2018-07-07,40
63.793327,32,93.971165,2017-09-15,54
-29.443327,40,94.569996,2017-11-06,57
3.0366592,40,95.284774,2017-12-23,21
-9.03,29,95.284864,2017-08-21,56
66.45333,25,96.078285,2018-05-14,30
85.64,33,96.07837,2018-04-10,37
-23.076668,26,96.921764,2018-06-20,31
43.226665,27,96.921852,2018-03-30,42
98.79001,34,97.822323,2017-10-20,17
-32.403336,34,97.822415,2018-06-20,18
-3.336672,24,97.822433,2018-07-26,39
103.373344,34,97.822446,2018-01-28,62
98.01334,34,98.62157,2018-05-04,61
62.480007,34,99.475315,2017-12-05,9
-81.34334,38,99.475433,2017-09-04,36
22.696665,34,99.475468,2018-02-02,41
-0.0066768327,37,99.47548,2018-05-22,47
